record_id,store_name,date,item_name,department,price,on_sale,sale_amount,final_price
135,WALMART,4/18/2025,Poppi Soda,Beverages,1,0,0,1
136,WALMART,4/18/2025,Poppi Soda,Beverages,1,0,0,1
137,WALMART,4/18/2025,Evaporated Milk,Dairy,1.34,0,0,1.34
138,WALMART,4/18/2025,Dutch Apple Pie,Frozen,6.97,0,0,6.97
139,WALMART,4/18/2025,Crinkle Cut French Fries,Frozen,3.97,0,0,3.97
140,WALMART,4/18/2025,Breyers Ice Cream,Snacks,3.87,0,0,3.87
141,WALMART,4/18/2025,Garlic Cheese Bread,Frozen,2.68,0,0,2.68
142,WALMART,4/18/2025,Pie Crust,Baking,1.26,0,0,1.26
143,WALMART,4/18/2025,Pie Crust,Baking,1.26,0,0,1.26
144,WALMART,4/18/2025,Pizza,Frozen,3.84,0,0,3.84
145,WALMART,4/18/2025,Pizza,Frozen,3.84,0,0,3.84
146,WALMART,4/18/2025,Chicken Parm Patties,Frozen,3.97,0,0,3.97
147,WALMART,4/18/2025,Sugar,Baking,4.34,0,0,4.34
148,WALMART,4/18/2025,Eggs,Eggs,5.63,0,0,5.63
149,WALMART,4/18/2025,Italian Bread,Bread,1.47,0,0,1.47
150,WALMART,4/18/2025,Vanilla Wafers,Snacks,2.83,0,0,2.83
151,WALMART,4/18/2025,Plain Bagels,Bread,2.08,0,0,2.08
152,WALMART,4/18/2025,Rolls,Bread,2.87,0,0,2.87
153,WALMART,4/18/2025,Bread,Bread,2.98,0,0,2.98
154,WALMART,4/18/2025,Donuts,Snacks,4.67,0,0,4.67
155,WALMART,4/18/2025,Empty Spray Bottle,Household,1.98,0,0,1.98
156,WALMART,4/18/2025,Drain Stick,Household,3.98,0,0,3.98
157,WALMART,4/18/2025,Butter Popcorn,Snacks,2.08,0,0,2.08
158,WALMART,4/18/2025,Earring Hoops,Household,2.66,0,0,2.66
159,WALMART,4/18/2025,Mangos,Produce,2.14,0,0,2.14
160,WALMART,4/18/2025,Bananas,Produce,0.78,0,0,0.78
161,SHOPRITE,4/3/2025,Ground Coffee,Household,6.99,1,-2,4.99
162,SHOPRITE,4/3/2025,Bread Crumbs,Pantry,2.39,1,-0.6,1.79
163,SHOPRITE,4/3/2025,Bread Crumbs,Pantry,2.39,1,-0.6,1.79
164,SHOPRITE,4/3/2025,Tomato Sauce,Pantry,1.89,1,-0.1,1.79
165,SHOPRITE,4/3/2025,Tomato Sauce,Pantry,1.89,1,-0.1,1.79
166,SHOPRITE,4/3/2025,Tomato Sauce,Pantry,1.89,1,-0.1,1.79
167,SHOPRITE,4/3/2025,Tomato Sauce,Pantry,1.89,1,-0.1,1.79
168,SHOPRITE,4/3/2025,Tortilla Pockets,Bread,4.39,0,0,4.39
169,SHOPRITE,4/3/2025,Sofrito,Pantry,2.69,0,0,2.69
170,SHOPRITE,4/3/2025,Sazon Seasoning,Seasoning,1.49,0,0,1.49
171,SHOPRITE,4/3/2025,Sazon Seasoning,Seasoning,1.49,0,0,1.49
172,SHOPRITE,4/3/2025,Garlic Sesame Sauce,Condiments,2.99,0,0,2.99
173,SHOPRITE,4/3/2025,Garlic Sesame Sauce,Condiments,2.99,0,0,2.99
174,SHOPRITE,4/3/2025,Three Cheese Pasta Sauce,Pantry,4.99,0,0,4.99
175,SHOPRITE,4/3/2025,Three Cheese Pasta Sauce,Pantry,4.99,0,0,4.99
176,SHOPRITE,4/3/2025,Chopped Onions,Seasoning,2.49,0,0,2.49
177,SHOPRITE,4/3/2025,Sugar,Sugar,2.99,1,-2,0.99
178,SHOPRITE,4/3/2025,Sugar,Sugar,2.99,1,-2,0.99
179,SHOPRITE,4/3/2025,Evaporated Milk,Dairy,1.29,1,-0.5,0.79
180,SHOPRITE,4/3/2025,Evaporated Milk,Dairy,1.29,1,-0.5,0.79
181,SHOPRITE,4/3/2025,Evaporated Milk,Dairy,1.29,1,-0.5,0.79
182,SHOPRITE,4/3/2025,Evaporated Milk,Dairy,1.29,1,-0.5,0.79
183,SHOPRITE,4/3/2025,Parchment Paper,Household,3.99,1,-0.6,3.39
184,SHOPRITE,4/3/2025,Aluminum Foil,Household,4.99,1,-0.5,4.49
185,SHOPRITE,4/3/2025,Wheat Bread,Bread,2.99,1,-1.5,1.49
186,SHOPRITE,4/3/2025,Bagels,Bread,4.49,1,-0.8,3.69
187,SHOPRITE,4/3/2025,Boneless Chicken Breast Thin Slice,Meat,5.71,0,0,5.71
188,SHOPRITE,4/3/2025,Cabbage,Produce,0.21,1,-1.69,-1.48
189,SHOPRITE,4/3/2025,Cream Cheese,Dairy,2.69,0,0,2.69
190,SHOPRITE,4/3/2025,Shredded Mozzarella,Dairy,1.99,1,-0.5,1.49
191,SHOPRITE,4/3/2025,Yellow American Cheese,Dairy,2.84,1,-1.43,1.41
192,SHOPRITE,4/3/2025,Empanada Discs,Bread,2.29,0,0,2.29
193,SHOPRITE,4/3/2025,Empanada Discs,Bread,2.29,0,0,2.29
194,SHOPRITE,4/3/2025,Salmon Fillets,Meat,6.98,1,-3.01,3.97
195,SHOPRITE,4/3/2025,Salmon Fillets,Meat,6.98,1,-3.01,3.97
196,SHOPRITE,4/3/2025,Whiting Fillets,Meat,6.98,1,-1,5.98
